division,line,station_name,entrance_type,vending,staffing,ada,free_crossover,station_location,geometry
IND,6 Avenue,York St,Stair,YES,FULL,FALSE,TRUE,"(40.699743, -73.986885)","c(-73.986885, 40.699743)"
IND,63rd Street,21st St,Elevator,YES,FULL,TRUE,TRUE,"(40.754203, -73.942836)","c(-73.942836, 40.754203)"
IND,63rd Street,Lexington Av,Elevator,YES,FULL,TRUE,TRUE,"(40.764627, -73.96611)","c(-73.96611, 40.764627)"
IND,63rd Street,Roosevelt Island,Door,YES,FULL,TRUE,TRUE,"(40.759145, -73.95326)","c(-73.95326, 40.759145)"
IND,8 Avenue,103rd St,Stair,YES,FULL,FALSE,TRUE,"(40.796092, -73.961454)","c(-73.961454, 40.796092)"
IND,8 Avenue,116th St,Stair,YES,FULL,FALSE,FALSE,"(40.805085, -73.954882)","c(-73.954882, 40.805085)"
IND,8 Avenue,125th St,Stair,YES,FULL,FALSE,TRUE,"(40.811109, -73.952343)","c(-73.952343, 40.811109)"
IND,8 Avenue,135th St,Stair,YES,FULL,FALSE,FALSE,"(40.817894, -73.947649)","c(-73.947649, 40.817894)"
IND,8 Avenue,145th St,Stair,YES,FULL,FALSE,TRUE,"(40.824783, -73.944216)","c(-73.944216, 40.824783)"
IND,8 Avenue,155th St,Stair,YES,FULL,FALSE,TRUE,"(40.830518, -73.941514)","c(-73.941514, 40.830518)"
IND,8 Avenue,163rd St - Amsterdam Av,Stair,YES,FULL,FALSE,FALSE,"(40.836013, -73.939892)","c(-73.939892, 40.836013)"
IND,8 Avenue,168th St - Washington Heights,Stair,YES,FULL,TRUE,TRUE,"(40.840719, -73.939561)","c(-73.939561, 40.840719)"
IND,8 Avenue,175th St,Elevator,YES,FULL,TRUE,TRUE,"(40.847391, -73.939704)","c(-73.939704, 40.847391)"
IND,8 Avenue,181st St,Door,YES,FULL,FALSE,TRUE,"(40.851695, -73.937969)","c(-73.937969, 40.851695)"
IND,8 Avenue,190th St,Door,YES,FULL,FALSE,TRUE,"(40.859022, -73.93418)","c(-73.93418, 40.859022)"
IND,8 Avenue,50th St,Easement,YES,FULL,TRUE,FALSE,"(40.762456, -73.985984)","c(-73.985984, 40.762456)"
IND,8 Avenue,72nd St,Stair,YES,FULL,FALSE,TRUE,"(40.775594, -73.97641)","c(-73.97641, 40.775594)"
IND,8 Avenue,81st St - Museum of Natural History,Stair,YES,FULL,FALSE,TRUE,"(40.781433, -73.972143)","c(-73.972143, 40.781433)"
IND,8 Avenue,96th St,Stair,YES,FULL,FALSE,TRUE,"(40.791646, -73.964699)","c(-73.964699, 40.791646)"
IND,8 Avenue,Broadway-Nassau,Easement,YES,FULL,FALSE,TRUE,"(40.710197, -74.007691)","c(-74.007691, 40.710197)"
IND,8 Avenue,Canal St,Stair,YES,FULL,FALSE,TRUE,"(40.720824, -74.005229)","c(-74.005229, 40.720824)"
IND,8 Avenue,Cathedral Parkway-110th St,Stair,YES,FULL,FALSE,TRUE,"(40.800605, -73.958158)","c(-73.958158, 40.800605)"
IND,8 Avenue,Chambers St,Stair,YES,FULL,FALSE,TRUE,"(40.714111, -74.008585)","c(-74.008585, 40.714111)"
IND,8 Avenue,Dyckman St-200th St,Easement,YES,FULL,FALSE,TRUE,"(40.865491, -73.927271)","c(-73.927271, 40.865491)"
IND,8 Avenue,High St,Stair,YES,FULL,FALSE,TRUE,"(40.699337, -73.990531)","c(-73.990531, 40.699337)"
IND,8 Avenue,Inwood - 207th St,Elevator,YES,FULL,TRUE,TRUE,"(40.868072, -73.919899)","c(-73.919899, 40.868072)"
IND,8 Avenue,Spring St,Stair,YES,FULL,FALSE,TRUE,"(40.726227, -74.003739)","c(-74.003739, 40.726227)"
IND,8 Avenue,West 4th St,Elevator,YES,FULL,TRUE,TRUE,"(40.732338, -74.000495)","c(-74.000495, 40.732338)"
IND,8 Avenue,World Trade Center,Stair,YES,FULL,TRUE,TRUE,"(40.712582, -74.009781)","c(-74.009781, 40.712582)"
IND,Archer Av,Jamaica-Van Wyck,Elevator,YES,FULL,FALSE,TRUE,"(40.702566, -73.816859)","c(-73.816859, 40.702566)"
IND,Archer Av,Parsons Blvd-Archer Av - Jamaica Center,Elevator,YES,FULL,TRUE,TRUE,"(40.702147, -73.801109)","c(-73.801109, 40.702147)"
IND,Archer Av,Sutphin Blvd-Archer Av - JFK,Stair,YES,FULL,TRUE,TRUE,"(40.700486, -73.807969)","c(-73.807969, 40.700486)"
BMT,Astoria,30 Av-Grand Av,Stair,YES,FULL,FALSE,TRUE,"(40.766779, -73.921479)","c(-73.921479, 40.766779)"
BMT,Astoria,36 Av-Washington Av,Stair,YES,FULL,FALSE,TRUE,"(40.756804, -73.929575)","c(-73.929575, 40.756804)"
BMT,Astoria,39 Av-Beebe Av,Stair,YES,FULL,FALSE,TRUE,"(40.752882, -73.932755)","c(-73.932755, 40.752882)"
BMT,Astoria,Astoria Blvd-Hoyt Av,Stair,YES,FULL,FALSE,TRUE,"(40.770258, -73.917843)","c(-73.917843, 40.770258)"
BMT,Astoria,Broadway,Stair,YES,FULL,FALSE,TRUE,"(40.76182, -73.925508)","c(-73.925508, 40.76182)"
BMT,Astoria,Ditmars Blvd,Stair,YES,FULL,FALSE,TRUE,"(40.775036, -73.912034)","c(-73.912034, 40.775036)"
BMT,Brighton,Atlantic Av,Easement,YES,NONE,TRUE,TRUE,"(40.68446, -73.97689)","c(-73.97689, 40.68446)"
